Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-29,25.35205057369357,25.35205057369357,25.225920968849323,25.33403205871582,1003200,0.0,0
1993-02-01,25.3520412647118,25.51420783996582,25.3520412647118,25.51420783996582,480500,0.0,0
1993-02-02,25.49620328611518,25.586295877232192,25.44214773144497,25.56827735900879,201300,0.0,0
1993-02-03,25.6043060919896,25.856565265309694,25.586287579609593,25.838546752929688,529400,0.0,0
1993-02-04,25.928634856806863,26.000708893934885,25.640338708294763,25.946653366088867,531500,0.0,0
1993-02-05,25.928632736206055,25.982688259631086,25.784484673739307,25.928632736206055,492100,0.0,0
1993-02-08,25.928632736206055,26.01872527524777,25.89259572058937,25.928632736206055,596100,0.0,0
1993-02-09,25.838557182616334,25.838557182616334,25.69440902539114,25.748464584350586,122100,0.0,0
1993-02-10,25.748449752082532,25.80250527990356,25.67637571498783,25.784486770629883,379600,0.0,0
1993-02-11,25.820529078243506,26.01873272085389,25.820529078243506,25.910621643066406,19500,0.0,0
1993-02-12,25.87458613608881,25.87458613608881,25.712419509887695,25.712419509887695,42500,0.0,0
1993-02-16,25.640347530822975,25.640347530822975,25.02771800443648,25.06375503540039,374800,0.0,0
1993-02-17,25.06374528459508,25.09978230153914,24.955634233762893,25.045726776123047,210900,0.0,0
1993-02-18,25.334024625686194,25.334024625686194,24.685358276806603,25.0277099609375,378100,0.0,0
1993-02-19,25.02770912082842,25.117801666259766,24.99167210265588,25.117801666259766,34900,0.0,0
1993-02-22,25.189874863096268,25.243930388553558,25.117800829153218,25.20789337158203,513600,0.0,0
1993-02-23,25.27997867573314,25.297997192251838,25.063756477508765,25.18988609313965,373700,0.0,0
1993-02-24,25.207893197819338,25.51420783996582,25.207893197819338,25.51420783996582,26300,0.0,0
1993-02-25,25.49620328611518,25.586295877232192,25.44214773144497,25.56827735900879,44500,0.0,0
1993-02-26,25.622321870442764,25.622321870442764,25.478173786783454,25.60430335998535,66200,0.0,0
1993-03-01,25.69438738072516,25.69438738072516,25.49618383150498,25.5322208404541,66500,0.0,0
1993-03-02,25.550251383774803,25.910621643066406,25.514214357845642,25.910621643066406,182400,0.0,0
1993-03-03,25.946659922930014,26.036752492106853,25.910622895259277,26.018733978271484,280100,0.0,0
1993-03-04,26.054765483463044,26.054765483463044,25.87458038330078,25.87458038330078,89500,0.0,0
1993-03-05,25.910618465039985,26.01872952956727,25.784488889758148,25.802507400512695,40000,0.0,0
1993-03-08,25.85657144504818,26.379108428955078,25.85657144504818,26.379108428955078,50800,0.0,0
1993-03-09,26.32503847850358,26.34305698533349,26.23494594435401,26.28900146484375,169300,0.0,0
1993-03-10,26.289011627802605,26.343067169189453,26.180900545028916,26.343067169189453,194400,0.0,0
1993-03-11,26.361073361829803,26.433147383324894,26.234943824213392,26.270980834960938,70900,0.0,0
1993-03-12,26.05476888549551,26.072787397864456,25.83854673706816,26.000713348388672,643600,0.0,0
1993-03-15,25.98269060858365,26.12683868408203,25.98269060858365,26.12683868408203,310800,0.0,0
1993-03-16,26.12683868408203,26.198912721831224,26.12683868408203,26.12683868408203,30800,0.0,0
1993-03-17,26.09081507093124,26.09081507093124,25.92864840267269,25.964685440063477,21800,0.0,0
